route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
452,regular,X,Westbourne Park,First,DD,Vauxhall,Notting Hill Gate,Vauxhall Bus Station,Notting Hill Gate Station,Vauxhall,Notting Hill Gate,,5.0,5.0,5.0,0.0,5.0,12.417,7.715
453,twentyfour,NX,New Cross,Go-Ahead,DD,Marylebone,Deptford Bridge,Great Central Street,,"Marylebone, Great Central Street",Deptford Bridge,,7.5,6.5,6.5,2.5,6.5,13.379,8.313
456,regular,NP,Northumberland Park,Go-Ahead,SD,North Middlesex Hospital,Crews Hill,,,North Middlesex Hospital,Crews Hill,,2.0,2.0,2.0,0.0,2.0,15.438,9.593
460,regular,AC,Willesden,Metroline,DD,North Finchley,"Willesden, Bus Garage",North Finchley Bus Station,Pound Lane,North Finchley,"Willesden, Bus Garage, Pound Lane",,5.0,5.0,5.0,0.0,4.0,10.13,6.294
462,regular,BK,Barking,Stagecoach London,SD,Ilford,Limes Farm,Hainault Street,Limes Farm / Copperfield,"Ilford, Hainault Street",Limes Farm,,4.0,4.0,4.0,0.0,2.0,13.489,8.382
463,regular,C,Croydon,Go-Ahead,SD,Pollards Hill,Coulsdon South,,Coulsdon South Station,Pollards Hill,Coulsdon South,,3.0,3.0,3.0,0.0,2.0,21.678,13.47
464,regular,BC,Beddington,Transport UK,SD,New Addington,Tatsfield,New Addington Tram Stop,Tatsfield Village / Old Ship,New Addington,Tatsfield,,2.0,2.0,2.0,0.0,1.0,9.882,6.141
465,regular,TF,Fulwell (Twickenham),Transport UK,SD,Dorking,Kingston,South Street / Rose Hill,Cromwell Road Bus Station,"Dorking, South Street / Rose Hill","Kingston, Cromwell Road Bus Station",,2.0,1.5,2.0,0.0,1.5,26.866,16.694
466,regular,TC,Croydon,Arriva,DD,Caterham-on-the-Hill,Addington Village,Westway,Addington Village Interchange,"Caterham-on-the-Hill, Westway",Addington Village,466S,5.0,5.5,5.0,0.0,5.0,19.312,12.0
467,regular,TV,Tolworth,First,DD,Epsom,Hook or Hinchley Wood School,Epsom Hospital,Hinchley Wood School,Epsom,Hook or Hinchley Wood School,,1.5,1.0,1.0,0.0,1.0,9.565,5.944
468,regular,N,Norwood,Arriva,DD,Elephant & Castle,"South Croydon, South End",Borough Road,Warham Road / Brighton Road,"Elephant & Castle, Borough Road","South Croydon, South End, Warham Road / Brighton Road",,7.0,6.5,6.5,0.0,4.0,17.977,11.17
469,regular,MG,Morden Wharf (Greenwich),Go-Ahead,SD,Erith,Queen Elizabeth Hospital,Erith Town Centre / Riverside,Queen Elizabeth Hospital / West Entrance,Erith,Queen Elizabeth Hospital,,4.0,4.0,4.0,0.0,3.0,16.209,10.072
470,regular,GM,Ellis Road,Go-Ahead,SD,Sutton Station,Colliers Wood,,Colliers Wood Station,Sutton Station,Colliers Wood,,2.0,2.0,2.0,0.0,2.0,10.173,6.321
473,regular,DS,Henley Road,Go-Ahead,DD,Stratford,North Woolwich,Stratford Bus Station,North Woolwich Ferry,Stratford,North Woolwich,,5.5,5.5,5.5,0.0,4.0,9.32,5.791
474,twentyfour,DS,Henley Road,Go-Ahead,DD,Manor Park,"Canning Town, Hermit Road",Manor Park Station,Hermit Road,Manor Park,"Canning Town, Hermit Road",,5.0,5.0,5.0,2.5,4.0,15.359,9.544
476,regular,NP,Northumberland Park,Go-Ahead,DD,King's Cross,Northumberland Park,King's Cross Station / York Way,,King's Cross,Northumberland Park,,5.5,6.0,6.0,0.0,5.0,11.861,7.37
481,regular,AH,Brentford,Metroline,DD,Turing House School Grounds,Kingston,,Cromwell Road Bus Station,Turing House School Grounds,"Kingston, Cromwell Road Bus Station",481D,2.0,2.0,2.5,0.0,1.0,13.833,8.596
482,regular,GW,Southall,Transport UK,DD,Heathrow Terminal 5,"Southall, Town Hall",,,Heathrow Terminal 5,"Southall, Town Hall",,2.5,2.5,3.0,0.0,3.0,18.982,11.795
483,regular,AO; PV,Athlon Road; Perivale [East],Metroline,DD,Harrow,Windmill Park,Harrow Bus Station,Windmill Lane / Three Bridges,Harrow,"Windmill Park, Windmill Lane / Three Bridges",,5.5,5.5,5.5,0.0,5.0,16.794,10.436
484,regular,Q,Camberwell,Go-Ahead,SD,Camberwell Green,Lewisham Station,Denmark Hill / Camberwell Green,,Camberwell Green,Lewisham Station,,5.0,5.0,5.0,0.0,4.0,10.846,6.739
485,regular,QB,Battersea,Transport UK,SD,Wandsworth,"Castelnau, Lonsdale Road",Ram Street,Lonsdale Road,"Wandsworth, Ram Street","Castelnau, Lonsdale Road",,1.5,2.0,2.0,0.0,2.0,8.131,5.052
486,twentyfour,BX,Bexleyheath,Go-Ahead,DD,"Bexleyheath, Shopping Centre",North Greenwich,Friswell Place,North Greenwich Station,"Bexleyheath, Shopping Centre, Friswell Place",North Greenwich,,5.0,5.0,5.0,3.0,4.0,14.892,9.253
487,regular,WJ,Willesden Junction,Metroline,SD,Willesden Junction,South Harrow,Willesden Junction Station,South Harrow Bus Station,Willesden Junction,South Harrow,,4.5,4.5,4.5,0.0,3.0,14.334,8.907
488,regular,HO,Lea Interchange,Stagecoach London,SD,Dalston Junction,Hancock Road,Forest Road,,"Dalston Junction, Forest Road",Hancock Road,,4.0,4.0,4.0,0.0,3.0,9.598,5.964
490,regular,TF,Fulwell (Twickenham),Transport UK,SD,Heathrow Terminal 5,"Richmond, Pools on the Park",,Pools on the Park,Heathrow Terminal 5,"Richmond, Pools on the Park",,5.0,5.0,5.0,0.0,3.0,21.218,13.184
491,regular,PB,Potters Bar,Metroline,SD,North Middlesex Hospital,Waltham Cross,,Waltham Cross Bus Station,North Middlesex Hospital,Waltham Cross,,3.0,3.0,3.0,0.0,3.0,16.171,10.048
492,regular,DT,Dartford,Arriva,DD,Bluewater,Sidcup Station,Bluewater Shopping Centre,,Bluewater,Sidcup Station,,2.0,2.0,2.0,0.0,2.0,23.165,14.394
493,regular,BC,Beddington,Transport UK,SD,"Richmond, Manor Circus","Tooting, St. George's Hospital",Richmond Bus Station,St George's / University of London,"Richmond, Manor Circus, Richmond Bus Station","Tooting, St. George's Hospital, St George's / University of London",,4.0,4.5,4.0,0.0,3.0,19.4,12.054
496,regular,RM,Rainham,Stagecoach London,DD,"Romford, Queen's Hospital",Harold Wood Station,Queen's Hospital,,"Romford, Queen's Hospital",Harold Wood Station,,3.5,4.0,4.0,0.0,3.0,12.878,8.002
498,regular,NS,Romford,Stagecoach London,DD,Brentwood,"Romford, Queen's Hospital",Brentwood Sainsbury's,Queen's Hospital,Brentwood,"Romford, Queen's Hospital",,3.0,3.0,3.0,0.0,2.5,11.752,7.302
499,regular,RM,Rainham,Stagecoach London,SD,Stansgate Road Shops,"Gallows Corner, Tesco",,,Stansgate Road Shops,"Gallows Corner, Tesco",,3.0,3.0,3.0,0.0,2.5,17.462,10.85
533,regular,SW,Stockwell,Go-Ahead,SD,"Castelnau, Lonsdale Road",Hammersmith,Lonsdale Road,Hammersmith Bus Station,"Castelnau, Lonsdale Road",Hammersmith,,4.0,4.0,4.0,0.0,4.0,11.314,7.03
601,school,MG,Morden Wharf (Greenwich),Go-Ahead,DD,Wilmington Schools,Thamesmead,Wilmington Hall School,Thamesmead Town Centre,"Wilmington Schools, Wilmington Hall School",Thamesmead,,,,,,0.0,18.259,11.346
602,school,PD,Plumstead,Stagecoach London,DD,Townley Grammar School,Thamesmead,,Thamesmead Town Centre,Townley Grammar School,Thamesmead,,,,,,0.0,,
603,school,HT,Holloway,Metroline,DD,Swiss Cottage,Muswell Hill,Swiss Cottage Station,,Swiss Cottage,Muswell Hill,,,,,,0.0,,
606,school,EW,Edgware,Metroline,DD,Totteridge Academy,Queensbury,The Totteridge Academy,Queensbury Station,Totteridge Academy,Queensbury,,,,,,0.0,15.486,9.623
608,school,RR,River Road,Go-Ahead,DD,Shenfield High School,Gallows Corner,,,Shenfield High School,Gallows Corner,,,,,,0.0,11.664,7.248
612,school,TH,Thornton Heath,Arriva,DD,The Holt,Selsdon,,Farley Road,The Holt,"Selsdon, Farley Road",,,,,,0.0,,
613,school,TV,Tolworth,First,DD,Glenthorne School,Tolworth,Glenthorne High School,Tolworth Station,"Glenthorne School, Glenthorne High School",Tolworth,,,,,,0.0,,
616,school,WN,Wood Green,Arriva,DD,Edmonton Green,Winchmore Hill,Edmonton Green Bus Station,Old Park Ridings,Edmonton Green,"Winchmore Hill, Old Park Ridings",,,,,,0.0,,
617,school,PB,Potters Bar,Metroline,DD,Turkey Street,Turnpike Lane Station,Turkey Street Station,Turnpike Lane Bus Station,Turkey Street,"Turnpike Lane Station, Turnpike Lane Bus Station",,,,,,0.0,10.692,6.644
618,school,GW,Southall,Transport UK,DD,Bolder Academy,Easedale House,,,Bolder Academy,Easedale House,,,,,,0.0,7.093,4.407
621,school,TL,Catford,Stagecoach London,DD,Leigh Stationers' Academy,Lewisham,,Lewisham Station,Leigh Stationers' Academy,Lewisham,,,,,,0.0,,
624,school,MG,Morden Wharf (Greenwich),Go-Ahead,DD,Welling Corner,Grove Park,Welling Library,Grove Park Station,"Welling Corner, Welling Library",Grove Park,,,,,,0.0,9.131,5.674
625,school,MG,Morden Wharf (Greenwich),Go-Ahead,DD,"Chislehurst, War Memorial",Plumstead Common,Bromley Lane / Chislehurst War Memorial,Warwick Terrace / Plumstead Common Road,"Chislehurst, War Memorial",Plumstead Common,,,,,,0.0,11.474,7.13
626,school,PB,Potters Bar,Metroline,DD,Dame Alice Owen's School,Finchley Central,,Finchley Central Station,Dame Alice Owen's School,Finchley Central,,,,,,0.0,18.022,11.199
627,school,N,Norwood,Arriva,DD,Woodcote Green,Worcester Park,,Worcester Park Station,Woodcote Green,Worcester Park,,,,,,0.0,10.322,6.414
628,school,UB,Hatfield,Uno,DD,Southgate,,Southgate Station,,Southgate,,,,,,,0.0,,
629,school,PB,Potters Bar,Metroline,DD,Turkey Street,Wood Green,Turkey Street Station,Wood Green Bus Garage,Turkey Street,Wood Green,,,,,,0.0,11.786,7.324
631,school,W,Cricklewood,Metroline,SD,Henrietta Barnett School,Golders Green,,Golders Green Station,Henrietta Barnett School,Golders Green,,,,,,0.0,1.857,1.154
632,school,W,Cricklewood,Metroline,DD,Kilburn Park,"Grahame Park, Corner Mead",Kilburn Park Station,Saracens High School / South Mead,Kilburn Park,"Grahame Park, Corner Mead, Saracens High School / South Mead",,,,,,0.0,10.472,6.507
633,school,C,Croydon,Go-Ahead,DD,Pollards Hill,Coulsdon South,South Lodge Avenue / Yorkshire Road,Coulsdon South Station,"Pollards Hill, South Lodge Avenue / Yorkshire Road",Coulsdon South,,,,,,0.0,19.699,12.24
634,school,PB,Potters Bar,Metroline,DD,Galley Lane,Muswell Hill,,,Galley Lane,Muswell Hill,,,,,,0.0,9.648,5.995
635,school,AH,Brentford,Metroline,DD,"Hounslow, Bus Station",St. Paul's School,,,"Hounslow, Bus Station",St. Paul's School,,,,,,0.0,10.861,6.749
638,school,TB,Bromley,Stagecoach London,DD,Kemnal Technology College,Coney Hall,,Glebe Way,Kemnal Technology College,"Coney Hall, Glebe Way",,,,,,0.0,,
639,school,BC,Beddington,Transport UK,DD,St John Bosco College,Minstead Gardens,,,St John Bosco College,Minstead Gardens,,,,,,0.0,12.459,7.742
640,school,G,Greenford,Metroline,DD,Bentley Wood School,South Harrow,Bentley Wood High School,South Harrow Bus Station,"Bentley Wood School, Bentley Wood High School",South Harrow,,,,,,0.0,8.434,5.241
642,school,EW,Edgware,Metroline,DD,London Academy,West Hendon Broadway,,West Hendon Broadway / Herbert Road,London Academy,West Hendon Broadway,,,,,,0.0,10.146,6.305
643,school,UB,Hatfield,Uno,DD,Christ's College,Brent Cross,,Brent Cross Shopping Centre,Christ's College,Brent Cross,,,,,,0.0,,
645,school,TC,Croydon,Arriva,DD,Purley Way,Purley,Purley Way / Waddon Road,Purley Cross,Purley Way,Purley,,,,,,0.0,,
646,school,RR,River Road,Go-Ahead,SD,Cranham,Noak Hill,Moor Lane,Wincanton Road,"Cranham, Moor Lane","Noak Hill, Wincanton Road",,,,,,0.0,14.009,8.705
649,school,WH,West Ham,Stagecoach London,DD,Campion School,Cedar Road,The Campion School,,Campion School,Cedar Road,,,,,,0.0,,
650,school,WH,West Ham,Stagecoach London,DD,Emerson Park School,Cedar Road,Emerson Park Academy,,"Emerson Park School, Emerson Park Academy",Cedar Road,,,,,,0.0,,
651,school,WH,West Ham,Stagecoach London,DD,Chase Cross,Romford Station,,,Chase Cross,Romford Station,,,,,,0.0,,
652,school,RR,River Road,Go-Ahead,DD,Upminster,"Rainham, Abbey Wood Lane",Upminster Station,Abbey Wood Lane,Upminster,"Rainham, Abbey Wood Lane",,,,,,0.0,12.205,7.584
653,school,UB,Hatfield,Uno,DD,"Kingsbury, The Mall",Muswell Hill,Jewish Free School,,"Kingsbury, The Mall, Jewish Free School",Muswell Hill,,,,,,0.0,,
655,school,BC,Beddington,Transport UK,DD,Raynes Park High School,Mitcham,,Love Lane,Raynes Park High School,"Mitcham, Love Lane",,,,,,0.0,7.09,4.405
656,school,RR,River Road,Go-Ahead,DD,"Gallows Corner, Tesco",Emerson Park School,,Emerson Park Academy,"Gallows Corner, Tesco","Emerson Park School, Emerson Park Academy",,,,,,0.0,8.976,5.578
657,school,T,Leyton,Stagecoach London,DD,Bancroft's School,"Crooked Billet, Sainsbury's",,Salisbury Hall Sainsbury's,Bancroft's School,"Crooked Billet, Sainsbury's, Salisbury Hall Sainsbury's",,,,,,0.0,,
658,school,MG,Morden Wharf (Greenwich),Go-Ahead,DD,Woolwich,Reinickendorf Avenue,Beresford Sq / Woolwich Arsenal Stn,Bexley Road / Reinickendorf Avenue,Woolwich,Reinickendorf Avenue,,,,,,0.0,9.496,5.901
660,school,TL,Catford,Stagecoach London,DD,Leigh Stationers' Academy,"Bellingham, Catford Bus Garage",,Catford Garage,Leigh Stationers' Academy,"Bellingham, Catford Bus Garage, Catford Garage",,,,,,0.0,,
661,school,TL,Catford,Stagecoach London,DD,"Chislehurst, War Memorial",Petts Wood,Centre Common Road / War Memorial,Station Square / Petts Wood Station,"Chislehurst, War Memorial, Centre Common Road / War Memorial",Petts Wood,,,,,,0.0,,
662,school,TV,Tolworth,First,DD,Holy Cross School,Surbiton,Sandal Road / Holy Cross School,Claremont Road / Surbiton Station,Holy Cross School,Surbiton,,,,,,0.0,,
663,school,TH,Thornton Heath,Arriva,DD,Regina Coeli School,Thornton Heath Station,,,Regina Coeli School,Thornton Heath Station,,,,,,0.0,,
664,school,MB,Orpington,Go-Ahead,DD,"New Addington, Homestead Way",Charles Darwin School,Homestead Way / Milne Park,,"New Addington, Homestead Way, Homestead Way / Milne Park",Charles Darwin School,,,,,,0.0,19.916,12.375
665,school,TV,Tolworth,First,SD,Holy Cross School,Surbiton,Sandal Road / Holy Cross School,Howard Road,Holy Cross School,"Surbiton, Howard Road",,,,,,0.0,,
667,school,BK; WH,Barking; West Ham,Stagecoach London,DD,Club House,Ilford,,Hainault Street,Club House,"Ilford, Hainault Street",,,,,,0.0,9.428,5.858
669,school,PD,Plumstead,Stagecoach London,DD,Cleeve Park School,Thamesmead,Bexley Lane / Cleeve Park School,Thamesmead Town Centre,Cleeve Park School,Thamesmead,,,,,,0.0,18.51,11.502
670,school,BC,Beddington,Transport UK,DD,St John Bosco College,Minstead Gardens,,,St John Bosco College,Minstead Gardens,,,,,,0.0,10.03,6.232
671,school,TF,Fulwell (Twickenham),Transport UK,DD,Chessington South,Tiffin Girls School,Chessington South Station,,Chessington South,Tiffin Girls School,,,,,,0.0,10.787,6.703
672,school,PD,Plumstead,Stagecoach London,DD,Woolwich,,Beresford Sq / Woolwich Arsenal Stn,,Woolwich,,,,,,,0.0,,
674,school,RM,Rainham,Stagecoach London,DD,Romford Station,"Harold Hill, Dagnam Park Square",,Dagnam Park Square,Romford Station,"Harold Hill, Dagnam Park Square",,,,,,0.0,,
675,school,AD,Palmers Green,Arriva,DD,Broadmead Road,St James's Street,,St James Street Station,Broadmead Road,"St James's Street, St James Street Station",,,,,,0.0,,
677,school,NP,Northumberland Park,Go-Ahead,DD,Debden,Ilford,The Broadway,Hainault Street,"Debden, The Broadway","Ilford, Hainault Street",,,,,,0.0,20.526,12.754
678,unknown,,,,DD,Beckton Station,Stratford,Beckton Bus Station,Stratford Bus Station,"Beckton Station, Beckton Bus Station",Stratford,,,,,,0.0,,
679,school,RR,River Road,Go-Ahead,DD,Goodmayes,Woodford Wells,Goodmayes Lane,St Thomas of Canterbury Church,Goodmayes,"Woodford Wells, St Thomas of Canterbury Church",,,,,,0.0,13.091,8.134
681,school,FW,Fulwell,First,DD,Teddington School,"Hounslow, Bus Station",Broom Road / Teddington School,,Teddington School,"Hounslow, Bus Station",,,,,,0.0,,
683,school,UB,Hatfield,Uno,DD,"Kingsbury, The Mall",Friern Barnet,Jewish Free School,Colney Hatch Lane,"Kingsbury, The Mall, Jewish Free School","Friern Barnet, Colney Hatch Lane",,,,,,0.0,,
684,school,TB,Bromley,Stagecoach London,DD,Charles Darwin School,Orpington Station,,,Charles Darwin School,Orpington Station,,,,,,0.0,,
685,school,TC,Croydon,Arriva,DD,Farley Road,,,,Farley Road,,,,,,,0.0,3.545,2.203
686,school,RR,River Road,Go-Ahead,DD,"Harold Hill, Dagnam Park Square",St Edward's School,Stratton Road,,"Harold Hill, Dagnam Park Square, Stratton Road",St Edward's School,,,,,,0.0,6.365,3.955
687,school,WH,West Ham,Stagecoach London,DD,,,,,,,,,,,,0.0,,
688,school,UB,Hatfield,Uno,DD,"Kingsbury, The Mall",Southgate,Jewish Free School,Southgate Station,"Kingsbury, The Mall, Jewish Free School",Southgate,,,,,,0.0,,
689,school,TH,Thornton Heath,Arriva,DD,Glade Gardens,West Croydon,,West Croydon Bus Station,Glade Gardens,West Croydon,,,,,,0.0,6.87,4.269
690,school,SW,Stockwell,Go-Ahead,DD,Burntwood School,West Norwood,,Norwood Bus Garage,Burntwood School,"West Norwood, Norwood Bus Garage",,,,,,0.0,11.58,7.196
695,school,AV,Hounslow,First,DD,Douay Martyrs School,West Drayton,Swakeleys Drive,Cherry Lane School,"Douay Martyrs School, Swakeleys Drive","West Drayton, Cherry Lane School",,,,,,0.0,,
696,school,AV,Hounslow,First,DD,Highgrove Pool & Fitness Centre,Conway Drive,,,Highgrove Pool & Fitness Centre,Conway Drive,,,,,,0.0,,
697,school,UX,Uxbridge Industrial Estate,Metroline,DD,Douay Martyrs School,"Hayes End, Lansbury Drive",Swakeleys Drive,Balmoral Drive,"Douay Martyrs School, Swakeleys Drive","Hayes End, Lansbury Drive, Balmoral Drive",,,,,,0.0,11.052,6.867
698,school,AV,Hounslow,First,DD,Swakeleys Drive,"Hayes, Bourne Avenue",,Conway Drive,Swakeleys Drive,"Hayes, Bourne Avenue, Conway Drive",,,,,,0.0,,
699,school,UB,Hatfield,Uno,DD,Dame Alice Owen's School,Winchmore Hill,,Green Dragon Lane,Dame Alice Owen's School,"Winchmore Hill, Green Dragon Lane",,,,,,0.0,,
969,school,GW,Southall,Transport UK,SD,Roehampton Vale,"Whitton, Lincoln Avenue",Roehampton Vale / Asda,Selkirk Road,Roehampton Vale,"Whitton, Lincoln Avenue, Selkirk Road",,,,,,0.0,18.619,11.569
A10,regular,UX,Uxbridge Industrial Estate,Metroline,SD,Heathrow Central,Uxbridge,Heathrow Central Bus Station,Belmont Road,Heathrow Central,"Uxbridge, Belmont Road",,3.0,3.0,3.0,0.0,2.0,12.712,7.899
B11,regular,BX,Bexleyheath,Go-Ahead,SD,"South Thamesmead, Yarnton Way","Bexleyheath, Bus Garage",St Andrew's Parish Church,,"South Thamesmead, Yarnton Way, St Andrew's Parish Church","Bexleyheath, Bus Garage",,4.0,4.0,4.0,0.0,2.0,11.749,7.3
B12,regular,BX,Bexleyheath,Go-Ahead,SD,Joyden's Wood,Erith,St Mary's Road,Erith Town Centre / Riverside,"Joyden's Wood, St Mary's Road",Erith,,3.5,3.0,3.0,0.0,2.0,18.087,11.239
B13,regular,BX,Bexleyheath,Go-Ahead,SD,New Eltham,Bexleyheath Library,New Eltham Station / Southwood Road,,New Eltham,Bexleyheath Library,,3.0,3.0,3.0,0.0,2.5,9.052,5.625
B14,regular,TB,Bromley,Stagecoach London,SD,Orpington Station,Bexleyheath Library,,,Orpington Station,Bexleyheath Library,,2.0,1.5,2.0,0.0,2.0,22.548,14.01
B15,regular,BX,Bexleyheath,Go-Ahead,SD,Horn Park,Friswell Place,Horncastle Road,,"Horn Park, Horncastle Road",Friswell Place,,3.0,3.0,3.0,0.0,2.5,12.96,8.053
B16,regular,BX,Bexleyheath,Go-Ahead,SD,Kidbrooke,"Bexleyheath, Bus Garage",Wingfield School,,"Kidbrooke, Wingfield School","Bexleyheath, Bus Garage",,4.0,4.0,4.0,0.0,2.0,14.468,8.99
BL1,regular,RA,Waterloo,Go-Ahead,DD,Waterloo,Molesworth Street,Waterloo Station / Waterloo Road,,Waterloo,Molesworth Street,,5.0,5.0,5.0,0.0,4.5,9.288,5.771
C1,regular,S,Shepherd's Bush,First,SD,White City,Victoria,White City Bus Station,Victoria Station,White City,Victoria,,5.0,5.0,5.0,0.0,5.0,9.642,5.992
C3,regular,QB,Battersea,Transport UK,DD,"Earl's Court, Tesco",Clapham Junction,Warwick Road Tesco,Clapham Junction Stn / the Falcon,"Earl's Court, Tesco, Warwick Road Tesco",Clapham Junction,,5.0,5.0,5.0,0.0,4.0,6.725,4.179
C10,regular,WL,Walworth,Transport UK,SD,Victoria,Canada Water,Victoria Station,Canada Water Bus Station,Victoria,Canada Water,,7.5,6.5,6.5,0.0,5.0,14.654,9.105
C11,regular,HT,Holloway,Metroline,SD,"Brent Cross, Shopping Centre",Archway Station,,,"Brent Cross, Shopping Centre",Archway Station,,6.0,6.0,6.0,0.0,5.0,13.13,8.159
D3,regular,DS,Henley Road,Go-Ahead,SD,Orchard Place,"Bethnal Green, Bonner Road",Leamouth / Orchard Place,Bonner Road,Orchard Place,"Bethnal Green, Bonner Road",,3.5,3.5,3.5,0.0,3.5,10.838,6.734
D6,regular,HK,Ash Grove,Stagecoach London,DD,Crossharbour,Ash Grove,Isle of Dogs Asda,Mare Street / Victoria Park Road,"Crossharbour, Isle of Dogs Asda","Ash Grove, Mare Street / Victoria Park Road",,6.0,6.5,6.5,0.0,4.0,8.019,4.983
D7,regular,HK,Ash Grove,Stagecoach London,DD,Mile End,"Poplar, All Saints",Mile End Station,Poplar / All Saints Church,Mile End,"Poplar, All Saints",,4.5,5.0,5.0,0.0,4.5,9.635,5.987
D8,regular,HO,Lea Interchange,Stagecoach London,DD,Crossharbour,Stratford,Isle of Dogs Asda,Stratford Bus Station,"Crossharbour, Isle of Dogs Asda",Stratford,,4.0,4.0,4.0,0.0,3.0,8.795,5.465
DL11,unknown,,,,,,,,,,,,,,,,0.0,1.875,1.165
E1,regular,G,Greenford,Metroline,DD,Ealing Broadway,Greenford Broadway,Haven Green / Ealing Broadway Stn,Clifton Road,Ealing Broadway,"Greenford Broadway, Clifton Road",,6.0,6.0,6.0,0.0,6.0,4.992,3.102
E2,regular,AH,Brentford,Metroline,DD,Greenford Broadway,"Brentford, Commerce Road",Clifton Road,Brentford Bus Depot,"Greenford Broadway, Clifton Road","Brentford, Commerce Road, Brentford Bus Depot",,6.5,6.5,6.5,0.0,5.5,10.609,6.592
E3,regular,V,Stamford Brook,First,DD,"Chiswick, Edensor Road",Greenford Broadway,Edensor Road / New Chiswick Pool,Clifton Road,"Chiswick, Edensor Road, Edensor Road / New Chiswick Pool","Greenford Broadway, Clifton Road",,7.0,6.0,7.0,0.0,6.0,14.73,9.153
E5,regular,GW,Southall,Transport UK,SD,"Perivale, Tesco","Southall, Toplocks Estate",,Toplocks Estate / Glade Lane,"Perivale, Tesco","Southall, Toplocks Estate, Toplocks Estate / Glade Lane",,4.0,4.5,4.5,0.0,3.0,11.455,7.118
E6,regular,DH,Hayes,Transport UK,SD,Bulls Bridge,Greenford Broadway,Bulls Bridge Tesco,Greenford Station,Bulls Bridge,"Greenford Broadway, Greenford Station",,4.5,4.0,4.5,0.0,4.5,13.436,8.349
E7,regular,GW,Southall,Transport UK,SD,Ealing Broadway,Ruislip,Ealing Broadway Station / Haven Green,Ruislip Station,Ealing Broadway,Ruislip,,4.5,4.5,5.0,0.0,3.0,14.604,9.074
E8,regular,AH,Brentford,Metroline,DD,Ealing Broadway,"Hounslow, Bell Corner",Ealing Broadway Stn / Haven Green,Bell Corner / Hounslow House,Ealing Broadway,"Hounslow, Bell Corner, Bell Corner / Hounslow House",,6.0,6.5,6.5,0.0,5.5,11.467,7.125
E9,regular,G,Greenford,Metroline,DD,Ealing Broadway,"Yeading, Barnhill Estate",Haven Green / Ealing Broadway Stn,Welbeck Avenue,Ealing Broadway,"Yeading, Barnhill Estate, Welbeck Avenue",,5.0,5.0,5.0,0.0,3.0,10.1,6.276
E10,regular,GW,Southall,Transport UK,SD,Ealing Broadway,"Northolt, Islip Manor",Haven Green / Ealing Broadway Stn,Islip Manor Road,Ealing Broadway,"Northolt, Islip Manor, Islip Manor Road",,4.0,4.0,4.0,0.0,3.0,11.317,7.032
E11,regular,GW,Southall,Transport UK,SD,"Ealing, Warwick Dene",Clifton Road,The Common / Warwick Dene,,"Ealing, Warwick Dene, The Common / Warwick Dene",Clifton Road,,3.0,3.0,3.0,0.0,2.0,8.052,5.003
EL1,twentyfour,RR,River Road,Go-Ahead,DD,Barking Riverside,Ilford Station,Northgate Road,Ilford Station / Ilford Hill,"Barking Riverside, Northgate Road",Ilford Station,,11.0,11.0,11.0,2.0,6.0,9.02,5.605
EL2,regular,RR,River Road,Go-Ahead,DD,Dagenham Dock,Becontree Heath,Dagenham Dock Terminus,Becontree Heath Leisure Centre,Dagenham Dock,Becontree Heath,,6.0,6.0,6.0,0.0,4.0,12.146,7.547
EL3,regular,RR,River Road,Go-Ahead,DD,Barking Riverside,Little Heath,Northgate Road,Chadwell Heath Lane,"Barking Riverside, Northgate Road","Little Heath, Chadwell Heath Lane",,6.5,6.0,6.0,0.0,3.0,13.452,8.359
G1,regular,QB,Battersea,Transport UK,SD,"Battersea, Shaftesbury Estate",Hermitage Lane,Shaftesbury Estate / Wickersley Road,,"Battersea, Shaftesbury Estate, Shaftesbury Estate / Wickersley Road",Hermitage Lane,,3.0,3.0,3.0,0.0,3.0,17.694,10.994
H2,regular,W,Cricklewood,Metroline,SD,Golders Green,,Golders Green Station,,Golders Green,,,5.0,5.0,5.0,0.0,3.0,7.553,4.693
H3,regular,W,Cricklewood,Metroline,SD,East Finchley,Golders Green,East Finchley / Hill Top,Golders Green Station,East Finchley,Golders Green,,0.5,0.0,1.0,0.0,1.0,9.721,6.04
H9,regular,SO,Harrow,First,SD,Harrow,,St Mark's Hospital,,"Harrow, St Mark's Hospital",,,5.5,6.0,6.0,0.0,4.0,17.379,10.799
H10,regular,SO,Harrow,First,SD,Harrow,,St Mark's Hospital,,"Harrow, St Mark's Hospital",,,6.0,6.0,6.0,0.0,4.0,16.989,10.556
H11,regular,BT,Edgware,First,SD,Mount Vernon Hospital,Harrow,,Harrow Bus Station,Mount Vernon Hospital,Harrow,,4.0,4.0,4.0,0.0,3.0,11.045,6.863
H12,regular,BT,Edgware,First,DD,South Harrow,Stanmore Station,South Harrow Bus Station,,South Harrow,Stanmore Station,,6.0,6.0,6.0,0.0,5.0,14.48,8.998
